Date,Open,High,Low,Close,Volume,Return,RVOL,MA5,MA20,TrendDiff,Trend,Support,Resistance,PricePosition,Breakout,Breakdown,Confidence,Label
2021-03-17,6650.0,6665.0,6605.0,6610.0,71474500,-0.0022641509433962703,0.7794235115469443,6674.0,6774.5,-0.0148350431766182,Downtrend,6600.0,7160.0,0.017857142857142856,0,0,Low,Akumulasi
2021-03-18,6620.0,6720.0,6610.0,6705.0,70067500,0.01437216338880476,0.7623942448986476,6674.0,6764.75,-0.01341512990132673,Downtrend,6600.0,7160.0,0.1875,0,0,Low,Akumulasi
2021-03-19,6770.0,6770.0,6625.0,6760.0,125853000,0.00820283370618946,1.3440520307143544,6673.0,6766.0,-0.013745196571090747,Downtrend,6600.0,7160.0,0.2857142857142857,0,0,Medium,Akumulasi
2021-03-22,6640.0,6680.0,6610.0,6620.0,67523500,-0.020710059171597628,0.7222629876519968,6664.0,6755.75,-0.013581023572512304,Downtrend,6600.0,7160.0,0.03571428571428571,0,0,Low,Akumulasi
2021-03-23,6720.0,6720.0,6555.0,6565.0,127762500,-0.0083081570996979,1.3249072979694607,6652.0,6744.5,-0.013714878790125288,Downtrend,6555.0,7160.0,0.01652892561983471,0,1,Medium,Akumulasi
2021-03-24,6515.0,6550.0,6420.0,6440.0,152050000,-0.01904036557501909,1.5037218475554384,6618.0,6725.25,-0.01594736255157801,Downtrend,6420.0,7160.0,0.02702702702702703,0,1,High,Markdown
2021-03-25,6400.0,6440.0,6330.0,6370.0,119101500,-0.010869565217391353,1.1509904578197752,6551.0,6707.5,-0.023332090942974282,Downtrend,6330.0,7160.0,0.04819277108433735,0,1,Low,Markdown
2021-03-26,6370.0,6445.0,6300.0,6415.0,134467500,0.007064364207221452,1.2653814529760707,6482.0,6693.0,-0.031525474376213954,Downtrend,6300.0,7160.0,0.13372093023255813,0,0,Medium,Markdown
2021-03-29,6410.0,6515.0,6360.0,6360.0,113370500,-0.008573655494933718,1.0979840116528936,6430.0,6675.5,-0.03677627144034155,Downtrend,6300.0,7160.0,0.06976744186046512,0,0,Low,Markdown
2021-03-30,6370.0,6455.0,6370.0,6395.0,83115500,0.005503144654088077,0.8556950505059344,6396.0,6643.0,-0.03718199608610567,Downtrend,6300.0,7160.0,0.11046511627906977,0,0,Low,Markdown
2021-03-31,6390.0,6395.0,6145.0,6215.0,223390500,-0.02814698983580921,2.1432590724205802,6351.0,6603.0,-0.03816447069513857,Downtrend,6145.0,7085.0,0.07446808510638298,0,1,High,Markdown
2021-04-01,6215.0,6270.0,6155.0,6225.0,112286000,0.0016090104585679832,1.0631115369557798,6322.0,6564.25,-0.036904444529077964,Downtrend,6145.0,7000.0,0.0935672514619883,0,0,Low,Markdown
2021-04-05,6250.0,6290.0,6155.0,6155.0,73311500,-0.011244979919678766,0.7100690005191505,6270.0,6536.0,-0.040697674418604654,Downtrend,6145.0,6950.0,0.012422360248447204,0,0,Low,Markdown
2021-04-06,6135.0,6170.0,6080.0,6165.0,80215000,0.0016246953696181787,0.7890302030413787,6231.0,6504.25,-0.0420109928123919,Downtrend,6080.0,6950.0,0.09770114942528736,0,0,Low,Markdown
2021-04-07,6155.0,6275.0,6135.0,6250.0,107908000,0.013787510137875048,1.0526169468031326,6202.0,6480.75,-0.043011997068240555,Downtrend,6080.0,6880.0,0.2125,0,0,Low,Markdown
2021-04-08,6200.0,6215.0,6125.0,6135.0,123697500,-0.018399999999999972,1.2136748698486457,6186.0,6457.25,-0.04200704634325758,Downtrend,6080.0,6880.0,0.06875,0,0,Medium,Markdown
2021-04-09,6315.0,6320.0,6145.0,6200.0,116961000,0.010594947025264867,1.1112393737930837,6181.0,6432.0,-0.03902363184079602,Downtrend,6080.0,6880.0,0.15,0,0,Low,Markdown
2021-04-12,6295.0,6295.0,6060.0,6065.0,110411500,-0.021774193548387055,1.0313344979785286,6163.0,6397.0,-0.03657964670939503,Downtrend,6060.0,6820.0,0.006578947368421052,0,1,Low,Markdown
2021-04-13,6050.0,6060.0,5980.0,6000.0,119211500,-0.010717230008243983,1.0822975177649443,6130.0,6363.75,-0.03673148693773325,Downtrend,5980.0,6770.0,0.02531645569620253,0,1,Low,Markdown
2021-04-14,6105.0,6305.0,6060.0,6305.0,135519500,0.050833333333333286,1.1952164706235133,6141.0,6347.75,-0.03257059588043008,Downtrend,5980.0,6770.0,0.41139240506329117,0,0,Low,Markdown
